Theta deg;Theta  rad;r(deg) Vesta;X Vesta;Y Vesta;X trans Vesta;Y trans Vesta;phi* (deg);Ts;Ts en jours ;deltaT_win(s);deltaT_win [JJ HH MM SS];Next window;;;;
65;1.134464014;179452316.4;149205788.6;319972846.2;75839826.01;162639031.7;;;;;;;;;;
66;1.151917306;180442817.4;143598767.7;322528112.9;73392705.82;164842716.2;;;;;;;;;;
67;1.169370599;181452170;137948005.2;324985134.3;70899011.15;167027603.2;;;;;;;;;;
68;1.186823891;182480511.5;132255222.4;327343162.2;68358402.78;169192984;;;;;;;;;;
69;1.204277184;183527977.7;126522153.4;329601478.1;65770545.06;171338127.7;;;;;;;;;;
70;1.221730476;184594702.8;120750544.5;331759394.3;63135106.7;173462280;;;;;;;;;;
71;1.239183769;185680818.7;114942153.8;333816253.3;60451761.46;175564663.2;;;;;;;;;;
72;1.256637061;186786455.2;109098750.6;335771428.6;57720188.97;177644475.4;;;;;;;;;;
73;1.274090354;187911739.2;103222114.9;337624324.8;54940075.53;179700889.9;;;;;;;;;;
74;1.291543646;189056794.7;97314036.72;339374377.3;52111114.98;181733055.1;;;;;;;;;;
75;1.308996939;190221742.1;91376315.76;341021053;49233009.64;183740093.4;;;;;;;;;;
76;1.326450232;191406698.1;85410760.68;342563850.5;46305471.23;185721101.1;;;;;;;;;;
77;1.343903524;192611775.2;79419188.66;344002299.6;43328221.91;187675147.9;;;;;;;;;;
78;1.361356817;193837081.2;73403424.78;345335962.4;40300995.29;189601275.9;;;;;;;;;;
79;1.378810109;195082718.8;67365301.51;346564432.4;37223537.6;191498499.8;;;;;;;;;;
80;1.396263402;196348785.3;61306658.12;347687335.6;34095608.75;193365806;;;;;;;;;;
81;1.413716694;197635371.6;55229340.12;348704329.9;30916983.63;195202152.2;;;;;;;;;;
82;1.431169987;198942562.5;49135198.74;349615105.4;27687453.33;197006467.1;;;;;;;;;;
83;1.448623279;200270435.2;43026090.29;350419384.8;24406826.45;198777649.8;;;;;;;;;;
84;1.466076572;201619059.8;36903875.68;351116923;21074930.49;200514569.5;;;;;;;;;;
85;1.483529864;202988497.7;30770419.8;351707507.7;17691613.29;202216065.2;;;;;;;;;;
86;1.500983157;204378801.7;24627590.94;352190958.8;14256744.52;203880945.3;;;;;;;;;;
87;1.518436449;205790015.2;18477260.28;352567129.1;10770217.23;205507987.1;;;;;;;;;;
88;1.535889742;207222171.2;12321301.28;352835904.1;7231949.479;207095937;;;;;;;;;;
89;1.553343034;208675292.1;6161589.077;352997201.8;3641886.011;208643509.8;;;;;;;;;;
90;1.570796327;210149388.8;2.1627E-08;353050973.2;1.28732E-08;210149388.8;;;;;;;;;;
91;1.588249619;211644459.9;-6161589.077;352997201.8;-3693705.135;211612225.5;;;;;;;;;;
92;1.605702912;213160491.1;-12321301.28;352835904.1;-7439193.856;213030639.5;;;;;;;;;;
93;1.623156204;214697454.1;-18477260.28;352567129.1;-11236396.56;214403218.7;;;;;;;;;;
94;1.640609497;216255306.2;-24627590.94;352190958.8;-15085207.59;215728519.1;;;;;;;;;;
95;1.658062789;217833989.1;-30770419.8;351707507.7;-18985483.12;217005065;;;;;;;;;;
